,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,hot_and_new
10,suite-704-restaurant-brooklyn,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","{'latitude': 40.674645, 'longitude': -73.950125}",(718) 975-7001,2299.415257367121,HG756eOfOuk3GrjCfQApag,https://s3-media1.fl.yelpcdn.com/bphoto/erie753ousWszwM1PXE7yA/o.jpg,False,"{'address1': '704 Nostrand Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['704 Nostrand Ave', 'Brooklyn, NY 11216']}",Suite 704  Restaurant,+17189757001,$$,4.0,29,"['delivery', 'pickup']",https://www.yelp.com/biz/suite-704-restaurant-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
11,monarch-theater-restaurant-brooklyn,"[{'alias': 'panasian', 'title': 'Pan Asian'}]","{'latitude': 40.71595, 'longitude': -73.96222}",(917) 909-1596,6374.883007811894,jLhKLKuNPMTzAMJgEY5DsQ,https://s3-media4.fl.yelpcdn.com/bphoto/DZrC7l4tEbyYNlMwdKGeBA/o.jpg,False,"{'address1': '146 Metropolitan Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['146 Metropolitan Ave', 'Brooklyn, NY 11249']}",Monarch Theater Restaurant,+19179091596,,5.0,9,[],https://www.yelp.com/biz/monarch-theater-restaurant-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
12,langkawi-brooklyn,"[{'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'thai', 'title': 'Thai'}]","{'latitude': 40.63889, 'longitude': -74.00582}",(718) 633-0808,3912.3761158402663,xJlMHqnScLobt-Rr44Sotw,https://s3-media3.fl.yelpcdn.com/bphoto/tqbZ4lAYM4KoPu3PZgCCqQ/o.jpg,False,"{'address1': '5323 8th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['5323 8th Ave', 'Brooklyn, NY 11220']}",Langkawi,+17186330808,,3.5,13,['delivery'],https://www.yelp.com/biz/langkawi-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
13,krok-brooklyn-brooklyn-2,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 40.68761, 'longitude': -74.0013}",(718) 858-8898,4285.611145385089,IGjdEM0s4WfOYrMSzO6q9Q,https://s3-media3.fl.yelpcdn.com/bphoto/ls0mavpDweeBwjdk7Bd2Dg/o.jpg,False,"{'address1': '117 Columbia St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['117 Columbia St', 'Brooklyn, NY 11231']}",KROK Brooklyn,+17188588898,,4.5,13,"['delivery', 'pickup']",https://www.yelp.com/biz/krok-brooklyn-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
14,amandla-brooklyn,"[{'alias': 'southafrican', 'title': 'South African'}]","{'latitude': 40.68692, 'longitude': -73.96282}",(347) 689-3021,3155.8515398717636,Jr1GHXFd-gvDwrfAR8GD3Q,https://s3-media1.fl.yelpcdn.com/bphoto/AcMlCTWcTLu1vmUPA3WORQ/o.jpg,False,"{'address1': '214 Greene Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['214 Greene Ave', 'Brooklyn, NY 11238']}",Amandla,+13476893021,,5.0,2,[],https://www.yelp.com/biz/amandla-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
15,daytime-brooklyn-2,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 40.65859, 'longitude': -73.97811}",,894.1588689283842,aCeHq1ZWKCI_wux0vOW1nA,https://s3-media1.fl.yelpcdn.com/bphoto/Cg7HXuRTaIjjpMrsliLgSA/o.jpg,False,"{'address1': '199 Windsor Pl', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['199 Windsor Pl', 'Brooklyn, NY 11215']}",Daytime,,,5.0,6,[],https://www.yelp.com/biz/daytime-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
16,rosalias-cafe-brooklyn,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 40.67592, 'longitude': -73.9498}",(718) 758-4640,2430.437354689358,FSHlN-v9xh5j__39K-f9Bg,https://s3-media1.fl.yelpcdn.com/bphoto/l7QCjw53fehRRYrNv30r8Q/o.jpg,False,"{'address1': '615 Nostrand Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['615 Nostrand Ave', 'Brooklyn, NY 11216']}",Rosalia's Cafe,+17187584640,,5.0,5,[],https://www.yelp.com/biz/rosalias-cafe-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
17,nitehawk-cinema-prospect-park-brooklyn-3,"[{'alias': 'movietheaters', 'title': 'Cinema'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'dinnertheater', 'title': 'Dinner Theater'}]","{'latitude': 40.66154, 'longitude': -73.97962}",(718) 384-3980,1079.7903620464783,H38pIONXN5yM4FMNtCMZqw,https://s3-media2.fl.yelpcdn.com/bphoto/q0V9NXNpUHZ_f4IRs5CMDw/o.jpg,False,"{'address1': '188 Prospect Park W', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['188 Prospect Park W', 'Brooklyn, NY 11215']}",Nitehawk Cinema - Prospect Park,+17183843980,$$,3.5,83,[],https://www.yelp.com/biz/nitehawk-cinema-prospect-park-brooklyn-3?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
18,fradei-italian-bistro-brooklyn,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.68656, 'longitude': -73.97433}",,3148.4894759349313,vegSCksJy6SI8WUGttLH-w,https://s3-media1.fl.yelpcdn.com/bphoto/5Fpz_NOwAXzOjJ9vHBg3nw/o.jpg,False,"{'address1': '99 South Portland Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['99 South Portland Ave', 'Brooklyn, NY 11217']}",FRADEI ITALIAN BISTRO,,,5.0,3,[],https://www.yelp.com/biz/fradei-italian-bistro-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
19,forma-brooklyn,"[{'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 40.72371, 'longitude': -73.95157}",(718) 349-2009,7361.934078455824,HodL0fXoF08C3Ir-kLeTtw,https://s3-media2.fl.yelpcdn.com/bphoto/DxkTKNuz-lX0v4z3veVbnA/o.jpg,False,"{'address1': '14 Bedford Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['14 Bedford Ave', 'Brooklyn, NY 11222']}",Forma,+17183492009,,4.5,7,[],https://www.yelp.com/biz/forma-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
20,charm-kao-brooklyn,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 40.6892229764259, 'longitude': -73.9863216751898}",(347) 599-1748,3744.4734768865123,9UkHgv9R3LakP0vNj6DMIg,https://s3-media1.fl.yelpcdn.com/bphoto/q-nI1VPHpf24eLsEfNDr9A/o.jpg,False,"{'address1': '193 Schermerhorn St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['193 Schermerhorn St', 'Brooklyn, NY 11201']}",Charm Kao,+13475991748,,4.0,12,"['delivery', 'pickup']",https://www.yelp.com/biz/charm-kao-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
21,cafe-gossip-brooklyn,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.60489, 'longitude': -73.9984}",(718) 975-4688,6523.022092522585,LZvF_aTGx5b_R_ORcduz0A,https://s3-media2.fl.yelpcdn.com/bphoto/FrVSPQL-hwR5_M_iUj2pEw/o.jpg,False,"{'address1': '1977 86th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11214', 'country': 'US', 'state': 'NY', 'display_address': ['1977 86th St', 'Brooklyn, NY 11214']}",CAFE GOSSIP,+17189754688,$$,4.0,29,"['delivery', 'pickup']",https://www.yelp.com/biz/cafe-gossip-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
22,the-common-brooklyn-3,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 40.61782, 'longitude': -74.03353}",(718) 680-3030,7192.384921943516,uBxSYU7JMsqI_9iMP0kl2Q,https://s3-media1.fl.yelpcdn.com/bphoto/sQI6f08Z3etVzEo5WBuc6g/o.jpg,False,"{'address1': '9406 3rd Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['9406 3rd Ave', 'Brooklyn, NY 11209']}",The Common,+17186803030,$$,4.5,30,[],https://www.yelp.com/biz/the-common-brooklyn-3?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
23,tofubox-brooklyn,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'panasian', 'title': 'Pan Asian'}]","{'latitude': 40.71125, 'longitude': -73.9468}",(718) 388-4232,6092.516255463029,bB3mkNsEkIpkwuaKSKxSfw,https://s3-media1.fl.yelpcdn.com/bphoto/f-1cgTImB04Br_OEYqvWQA/o.jpg,False,"{'address1': '632 Grand St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['632 Grand St', 'Brooklyn, NY 11211']}",Tofubox,+17183884232,,5.0,34,"['delivery', 'pickup']",https://www.yelp.com/biz/tofubox-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
24,high-lúa-vietnamese-kitchen-brooklyn,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 40.71258, 'longitude': -73.96045}",(347) 844-9666,6005.707489455999,gl9UKHI6G-JhIBjjLFOhYA,https://s3-media1.fl.yelpcdn.com/bphoto/jV3VNIZ8wGpQzIlTk3TYIw/o.jpg,False,"{'address1': '182 S 2nd St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['182 S 2nd St', 'Brooklyn, NY 11211']}",High Lúa Vietnamese Kitchen,+13478449666,,5.0,3,[],https://www.yelp.com/biz/high-l%C3%BAa-vietnamese-kitchen-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
25,chicks-isan-brooklyn,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 40.69121, 'longitude': -73.98331}",(929) 388-1131,3819.3218709746375,Eh7rYMuvnTUbgBypPbPA2w,https://s3-media1.fl.yelpcdn.com/bphoto/zkUiy7kktRhq9gjCcfhd3Q/o.jpg,False,"{'address1': '445 Albee Square W', 'address2': None, 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['445 Albee Square W', 'Brooklyn, NY 11201']}",Chicks Isan,+19293881131,,4.5,30,"['delivery', 'pickup']",https://www.yelp.com/biz/chicks-isan-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
26,porteñas-yerba-mate-brooklyn,"[{'alias': 'latin', 'title': 'Latin American'}]","{'latitude': 40.7135736120405, 'longitude': -73.9495076984167}",,6285.730228234461,MfnC_MUwlTdK6APTbnvmCw,https://s3-media2.fl.yelpcdn.com/bphoto/5162qCdAiBUUWHhReaNsiQ/o.jpg,False,"{'address1': '557 Lorimer St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['557 Lorimer St', 'Brooklyn, NY 11211']}",Porteñas Yerba Mate,,,4.5,10,[],https://www.yelp.com/biz/porte%C3%B1as-yerba-mate-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
27,earnest-tea-cafe-brooklyn-2,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 40.63538, 'longitude': -74.00989}",(347) 457-5888,4419.130969588137,YjiQODTE-C_lsIE4ierPaA,https://s3-media3.fl.yelpcdn.com/bphoto/GNF5J094bIF2PTNhKthE8g/o.jpg,False,"{'address1': '6008 8th Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['6008 8th Ave', 'Brooklyn, NY 11220']}",Earnest Tea Cafe,+13474575888,,4.0,5,[],https://www.yelp.com/biz/earnest-tea-cafe-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
28,tsaôcaa-and-bào-new-york-2,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 40.71938, 'longitude': -73.98882}",(917) 691-0718,6985.430227046202,hP-2IqCLhyiNIsiEavH6KA,https://s3-media4.fl.yelpcdn.com/bphoto/woyxjiJ0n0OxCB08qnGZgw/o.jpg,False,"{'address1': '109 Ludlow St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['109 Ludlow St', 'New York, NY 10002']}",Tsaôcaa & Bào,+19176910718,,5.0,22,[],https://www.yelp.com/biz/tsa%C3%B4caa-and-b%C3%A0o-new-york-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
29,hills-kitchen-brooklyn-2,"[{'alias': 'african', 'title': 'African'}]","{'latitude': 40.70253, 'longitude': -73.92513}",(929) 480-8775,6033.490654512472,Ra7TDn3poDX1RGMKMKTcBA,https://s3-media1.fl.yelpcdn.com/bphoto/TwVqppKxV5kTPEmRspY3Hw/o.jpg,False,"{'address1': '252 Knickerbocker Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['252 Knickerbocker Ave', 'Brooklyn, NY 11237']}",Hills Kitchen,+19294808775,,5.0,1,"['delivery', 'pickup']",https://www.yelp.com/biz/hills-kitchen-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
30,au-cheval-diner-new-york,"[{'alias': 'diners', 'title': 'Diners'}]","{'latitude': 40.7183878, 'longitude': -74.0015522}",,7216.464325426295,__EvomQ2tE1NtkWn32WEXg,https://s3-media2.fl.yelpcdn.com/bphoto/oYoO-DUnTl-4Om0TsPGLsw/o.jpg,False,"{'address1': '33 Cortlandt Aly', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['33 Cortlandt Aly', 'New York, NY 10013']}",Au Cheval Diner,,,4.5,13,[],https://www.yelp.com/biz/au-cheval-diner-new-york?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,yes
