category1,category2,category3,category4,alcohol,ambience,noise_level,phone,is_closed,name,yelp_url,price,rating,review_count,first_review_rating,first_review_date,transactions,transactions2,transactions3,hot_and_new,latitude,longitude,address1,address2,address3,city,zip_code,country,state
Pizza ,Burgers,American(Traditional),,Full Bar,Casual,Loud,(347) 844-9588,FALSE,Emily,https://www.yelp.com/biz/emily-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4,653,5,1/25/2014,pickup,restaurant_reservation,delivery,no,40.68351923,-73.96641323,919 Fulton St,,,Brooklyn,11238,US,NY
Brazilian ,Argentine,Steakhouses,,Full Bar,"Casual, Intimate, Romantic",Average,(718) 222-1102,FALSE,El Mate,https://www.yelp.com/biz/el-mate-brooklyn?osq=Restaurants,$$,4.5,263,5,2/2/2015,pickup,restaurant_reservation,delivery,no,40.67497822,-73.99952249,550 Court St,,,Brooklyn,11231,US,NY
Hot Pot ,Barbeque,Buffets,,No,"Casual, Trendy",Average,(347) 227-7698,FALSE,Lan Ting Hotpot,https://www.yelp.com/biz/lan-ting-hotpot-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,177,3,3/24/2017,,restaurant_reservation,,no,40.637494,-74.010961,705 59th St,Ste BC,,Brooklyn,11220,US,NY
Barbeque ,Bars,,,Full Bar,"Hipster, Casual, Trendy",Average,,FALSE,Pig Beach,https://www.yelp.com/biz/pig-beach-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,401,4,6/4/2015,pickup,restaurant_reservation,,no,40.67929415,-73.98802643,480 Union St,,,Brooklyn,11231,US,NY
American (New) ,Cocktail Bars,,,Full Bar,Casual,Average,(718) 488-7800,FALSE,Walter's,https://www.yelp.com/biz/walters-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,481,5,12/3/2011,,restaurant_reservation,,no,40.68941116,-73.97325897,166 DeKalb Ave,,,Brooklyn,11217,US,NY
Seafood,,,,Beer & Wine Only,Casual,Average,(718) 484-1507,FALSE,The Crabby Shack,https://www.yelp.com/biz/the-crabby-shack-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,583,5,7/27/2014,pickup,,delivery,no,40.67735014,-73.95546715,613 Franklin Ave,,,Brooklyn,11238,US,NY
American (New) ,French,,,Full Bar,Casual,Average,(718) 858-1095,FALSE,Atrium Dumbo,https://www.yelp.com/biz/atrium-dumbo-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,579,5,7/30/2013,pickup,restaurant_reservation,,no,40.7033899,-73.9904923,15 Main St,,,Brooklyn,11201,US,NY
American (New) ,Southern,Bars,,Full Bar,"Hipster, Casual, Trendy",Average,(718) 484-7724,FALSE,Sweet Chick,https://www.yelp.com/biz/sweet-chick-brooklyn-5?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,439,4,8/1/2017,pickup,,,no,40.67763,-73.97255,341 Flatbush Ave,,,Brooklyn,11217,US,NY
Hot Pot,,,,Beer & Wine Only,"Casual, Trendy",Average,(718) 431-0026,FALSE,Laojie Hotpot,https://www.yelp.com/biz/laojie-hotpot-brooklyn-4?osq=Restaurants,$$,4.5,417,4,11/9/2016,,restaurant_reservation,,no,40.63897093,-74.00468469,811 53rd St,,,Brooklyn,11220,US,NY
Mediterranean ,Cocktail Bars,,,Full Bar,"Casual, Intimate",Average,(917) 909-1023,FALSE,Miss Ada,https://www.yelp.com/biz/miss-ada-brooklyn-2?osq=Restaurants,$$$,4.5,145,5,5/13/2017,,restaurant_reservation,,no,40.689436,-73.9723809,184 Dekalb Ave,,,Brooklyn,11205,US,NY
Japanese ,Seafood,,,Beer & Wine Only,"Casual, Intimate",Average,,FALSE,Okonomi,https://www.yelp.com/biz/okonomi-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,410,4,5/5/2014,,,,no,40.712622,-73.9487843,150 Ainslie St,,,Brooklyn,11211,US,NY
Italian ,Venues & Event Spaces,Breakfast&Brunch,,Full Bar,Romantic,Average,(718) 636-4800,FALSE,Scottadito Osteria Toscana,https://www.yelp.com/biz/scottadito-osteria-toscana-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,782,4,10/9/2006,pickup, restaurant_reservation,delivery,no,40.6746627,-73.9766125,788A Union St,,,Brooklyn,11215,US,NY
Italian ,Desserts,Diners,,Full Bar,Romantic,Average,(718) 576-3209,FALSE,Rucola,https://www.yelp.com/biz/rucola-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,448,4,4/30/2011,,,,no,40.68562,-73.98587,190 Dean St,,,Brooklyn,11217,US,NY
Pizza,,,,Beer & Wine Only,Casual,Average,(718) 858-4300,FALSE,Grimaldi's,https://www.yelp.com/biz/grimaldis-brooklyn-4?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,3.5,4450,5,6/28/2005,pickup,,,no,40.70256946,-73.99324761,1 Front St,,,Brooklyn,11201,US,NY
Latin American,,,,Full Bar,Casual,Average,(347) 689-4287,FALSE,Colonia Verde,https://www.yelp.com/biz/colonia-verde-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,142,5,2/23/2014,pickup, restaurant_reservation,,no,40.68973541,-73.97070313,219 Dekalb Ave,,,Brooklyn,11205,US,NY
Caribbean,,,,Full Bar,Casual,Average,(718) 622-0249,FALSE,Glady's,https://www.yelp.com/biz/gladys-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,429,5,4/17/2014,pickup,,delivery,no,40.671705,-73.957887,788 Franklin Ave,,,Brooklyn,11238,US,NY
Indonesian,,,,Beer & Wine Only,Trendy,Average,(718) 701-4333,FALSE,Selamat Pagi,https://www.yelp.com/biz/selamat-pagi-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,247,4,10/27/2012,pickup,restaurant_reservation,,no,40.723255,-73.944633,152 Driggs Ave,,,Brooklyn,11222,US,NY
Taiwanese ,American (New),AsianFusion,,Full Bar,"Hipster, Casual, Trendy",Average,(347) 457-6010,FALSE,Win Son,https://www.yelp.com/biz/win-son-brooklyn-4?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,345,5,5/20/2016,pickup,restaurant_reservation,,no,40.70747,-73.94339,159 Graham Ave,,,Brooklyn,11206,US,NY
Bars ,Cajun/Creole,Breakfast&Brunch,,Full Bar,Casual,Average,(347) 305-3233,FALSE,Catfish,https://www.yelp.com/biz/catfish-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,656,4,1/5/2013,pickup,,,no,40.674106,-73.953529,1433 Bedford Ave,,,Brooklyn,11216,US,NY
Ramen ,Noodles,Soup,,Beer & Wine Only,Casual,Average,(718) 381-0491,FALSE,ICHIRAN - Brooklyn,https://www.yelp.com/biz/ichiran-brooklyn-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,3.5,986,5,10/19/2016,,,,no,40.707587,-73.933271,374 Johnson Ave,,,Brooklyn,11206,US,NY
Pizza ,Vegan,Italian,,Full Bar,Hipster,Loud,(347) 987-3747,FALSE,Paulie Gee's,https://www.yelp.com/biz/paulie-gees-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,1154,4,3/11/2010,,restaurant_reservation,,no,40.729546,-73.958568,60 Greenpoint Ave,,,Brooklyn,11222,US,NY
Wine Bars ,Mediterranean,Breakfast&Brunch,,Beer & Wine Only,Casual,Average,(718) 622-2250,FALSE,Miriam,https://www.yelp.com/biz/miriam-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,902,4,11/25/2005,pickup, restaurant_reservation,delivery,no,40.68017198,-73.97775552,79 5th Ave,,,Brooklyn,11217,US,NY
American (New) ,Bars,Tapas/SmallPlates,,Full Bar,Casual,Average,(347) 750-5275,FALSE,Sunshine,https://www.yelp.com/biz/sunshine-brooklyn-3?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,313,4,12/21/2012,,restaurant_reservation,,no,40.6746035,-73.9631644,780 Washington Ave,,,Brooklyn,11238,US,NY
Argentine ,American (New),,,Full Bar,Romantic,Average,(347) 689-3122,FALSE,Libertador Steakhouse - Brooklyn,https://www.yelp.com/biz/libertador-steakhouse-brooklyn-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,205,5,1/6/2013,pickup,restaurant_reservation,,no,40.68728907,-73.9980974,404 Henry St,,,Brooklyn,11201,US,NY
American (Traditional),,,,Beer & Wine Only,Casual,Average,(718) 769-1254,FALSE,Brennan & Carr,https://www.yelp.com/biz/brennan-and-carr-brooklyn-3?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,619,4,12/28/2005,pickup,,,no,40.60019,-73.9422,3432 Nostrand Ave,,,Brooklyn,11229,US,NY
Latin American,,,,Full Bar,"Intimate, Romantic",Average,(347) 335-0187,FALSE,Tabaré,https://www.yelp.com/biz/tabar%C3%A9-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,602,5,1/28/2010,pickup,restaurant_reservation,,no,40.713046,-73.958968,221 S 1st St,,,Brooklyn,11211,US,NY
Breakfast & Brunch ,American (Traditional),CocktailBars,,Full Bar,Trendy,Average,(718) 855-7500,FALSE,Colonie,https://www.yelp.com/biz/colonie-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4,537,4,2/12/2011,,restaurant_reservation,,no,40.6909,-73.9958,127 Atlantic Ave,,,Brooklyn,11201,US,NY
Asian Fusion ,Korean,,,Full Bar,"Hipster, Casual",Average,(347) 406-6660,FALSE,Bunsmith,https://www.yelp.com/biz/bunsmith-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,226,4,6/22/2015,pickup,restaurant_reservation,delivery,no,40.67184448,-73.9572525,789 Franklin Ave,,,Brooklyn,11238,US,NY
Steakhouses,,,,Full Bar,,Average,(718) 384-2836,FALSE,DeStefano's Steakhouse,https://www.yelp.com/biz/destefanos-steakhouse-brooklyn?osq=Restaurants,$$$,4.5,745,4,3/30/2008,pickup,restaurant_reservation,,no,40.71503,-73.94767,89 Conselyea St,,,Brooklyn,11211,US,NY
Caribbean ,Chicken Shop,,,No,Divey,Average,(646) 683-6012,FALSE,Peppa's Jerk Chicken Restaurant,https://www.yelp.com/biz/peppas-jerk-chicken-restaurant-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$,4,188,4,7/8/2008,pickup,,,no,40.65493,-73.95988,738 Flatbush Ave,,,Brooklyn,11226,US,NY
Polish,,,,Full Bar,Casual,Average,(718) 349-1744,FALSE,Karczma,https://www.yelp.com/biz/karczma-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4.5,527,5,4/1/2008,pickup,,,no,40.729977,-73.955128,136 Greenpoint Ave,,,Brooklyn,11222,US,NY
Dominican,,,,Beer & Wine Only,Casual,Average,(718) 398-3758,FALSE,Puerto Viejo,https://www.yelp.com/biz/puerto-viejo-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,407,4,5/9/2012,pickup,,delivery,no,40.67885,-73.96214,564 Grand Ave,,,Brooklyn,11238,US,NY
Asian Fusion ,Japanese,French,,Beer & Wine Only,,,(347) 799-1175,FALSE,Mori,https://www.yelp.com/biz/mori-brooklyn?osq=Restaurants,,4.5,53,5,7/10/2018,pickup,restaurant_reservation,delivery,no,40.671718,-73.983902,351 5th Ave,,,Brooklyn,11215,US,NY
Middle Eastern,,,,,,,(347) 987-4181,FALSE,Myrtle & Co,https://www.yelp.com/biz/myrtle-and-co-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,,5,5,5,1/23/2019,pickup,,delivery,yes,40.69372,-73.9646,507 Myrtle Ave,,,Brooklyn,11205,US,NY
Wine Bars ,Tapas/Small Plates,,,Beer & Wine Only,,,(718) 483-9211,FALSE,Glou,https://www.yelp.com/biz/glou-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,5,21,5,3/20/2018,pickup,,,no,40.662809,-73.95406,406 Rogers Ave,,,Brooklyn,11225,US,NY
American (New) ,Tapas/Small Plates,,,Full Bar,Trendy,Average,(347) 844-9578,FALSE,Traif,https://www.yelp.com/biz/traif-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,4.5,1805,3,4/13/2010,,restaurant_reservation,,no,40.710658,-73.958872,229 S 4th St,,,Brooklyn,11211,US,NY
Bakeries ,American (New),Bars,,Full Bar,Casual,Average,(718) 576-3360,FALSE,Runner & Stone,https://www.yelp.com/biz/runner-and-stone-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,270,5,12/20/2012,pickup,restaurant_reservation,,no,40.67721,-73.985919,285 3rd Ave,,,Brooklyn,11215,US,NY
Food Court,,,,Beer & Wine Only,"Hipster, Casual, Trendy",Average,(929) 359-6555,FALSE,Dekalb Market Hall,https://www.yelp.com/biz/dekalb-market-hall-brooklyn-2?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,567,5,6/16/2017,pickup,,delivery,no,40.690584,-73.982326,445 Albee Square W,Basement Level,,Brooklyn,11201,US,NY
Italian,,,,Full Bar,"Trendy, Romantic, Classy, Upscale",Average,(718) 650-3900,FALSE,Cecconi's Dumbo,https://www.yelp.com/biz/cecconis-dumbo-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$$,3.5,457,4,6/9/2017,,restaurant_reservation,,no,40.703415,-73.991409,55 Water St,,,Brooklyn,11201,US,NY
Italian,,,,Full Bar,Intimate,Average,(718) 576-3584,FALSE,Aita,https://www.yelp.com/biz/aita-brooklyn?adjust_creative=0Dg8yi23WIgUL_NRJc29aA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Dg8yi23WIgUL_NRJc29aA,$$,4,237,4,5/24/2012,pickup,,,no,40.686409,-73.9666214,132 Greene Ave,,,Brooklyn,11238,US,NY
