,categories,coordinates,display_phone,is_closed,location,name,phone,price,rating,review_count,transactions,hot_and_new
16,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 40.6818, 'longitude': -74.00024}",(718) 858-4086,False,"{'address1': '575 Henry St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['575 Henry St', 'Brooklyn, NY 11231']}",Lucali,17188584086.0,$$,4.5,1272,[],
17,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.594715, 'longitude': -73.981316}",(718) 449-1230,False,"{'address1': '2725 86th St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11223', 'country': 'US', 'state': 'NY', 'display_address': ['2725 86th St', 'Brooklyn, NY 11223']}",L & B Spumoni Gardens,17184491230.0,$,4.0,3365,"['pickup', 'delivery']",
18,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.67795, 'longitude': -73.9961}",(347) 689-3075,False,"{'address1': '407 Smith St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['407 Smith St', 'Brooklyn, NY 11231']}",Ugly Baby,13476893075.0,$$,4.5,231,[],
19,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}]","{'latitude': 40.6918206366101, 'longitude': -73.9863992364001}",(929) 337-7599,False,"{'address1': '148 Lawrence St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['148 Lawrence St', 'Brooklyn, NY 11201']}",Yaso Tangbao,19293377599.0,$$,4.0,680,"['pickup', 'delivery']",
20,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 40.7211890204726, 'longitude': -73.9570004492998}",(718) 218-6655,False,"{'address1': '44 Berry St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['44 Berry St', 'Brooklyn, NY 11249']}",Mable's Smokehouse & Banquet Hall,17182186655.0,$$,4.0,754,"['pickup', 'restaurant_reservation', 'delivery']",
21,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'southern', 'title': 'Southern'}]","{'latitude': 40.67421, 'longitude': -73.96324}",(347) 533-7110,False,"{'address1': '794 Washington Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['794 Washington Ave', 'Brooklyn, NY 11238']}",Lowerline,13475337110.0,$$,4.5,76,[],
22,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.6908116, 'longitude': -73.953915}",(718) 230-7100,False,"{'address1': '564 Dekalb Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['564 Dekalb Ave', 'Brooklyn, NY 11205']}",Baron's,17182307100.0,$$,4.5,229,"['pickup', 'restaurant_reservation']",
23,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.68561, 'longitude': -73.98035}",(347) 318-8893,False,"{'address1': '31 3rd Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['31 3rd Ave', 'Brooklyn, NY 11217']}",Claw Daddy's,13473188893.0,$$,4.0,151,['restaurant_reservation'],
24,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 40.70734, 'longitude': -73.94186}",(917) 909-0307,False,"{'address1': '188 Montrose Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['188 Montrose Ave', 'Brooklyn, NY 11206']}",The Brooklyn Tree,19179090307.0,$$,4.5,124,"['pickup', 'delivery']",
25,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.711191, 'longitude': -73.961424}",(347) 529-6090,False,"{'address1': '166 S 4th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['166 S 4th St', 'Brooklyn, NY 11211']}",Pies-n-Thighs,13475296090.0,$$,4.0,2688,"['pickup', 'delivery']",
26,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","{'latitude': 40.6770523794749, 'longitude': -73.9634169638157}",(718) 398-3575,False,"{'address1': '671 Washington Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['671 Washington Ave', 'Brooklyn, NY 11238']}",The Islands,17183983575.0,$$,4.5,671,[],
27,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 40.68145923448, 'longitude': -73.9772509779765}",(718) 857-3483,False,"{'address1': '52 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['52 5th Ave', 'Brooklyn, NY 11217']}",5ive Spice,17188573483.0,$$,4.0,519,[],
28,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.634356735221, 'longitude': -73.9661046515558}",(718) 513-0441,False,"{'address1': '1119 Newkirk Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11230', 'country': 'US', 'state': 'NY', 'display_address': ['1119 Newkirk Ave', 'Brooklyn, NY 11230']}",Milk & Honey Cafe,17185130441.0,$$,4.0,771,[],
29,"[{'alias': 'cuban', 'title': 'Cuban'}]","{'latitude': 40.68645, 'longitude': -73.97416}",(718) 858-9500,False,"{'address1': '757 Fulton St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['757 Fulton St', 'Brooklyn, NY 11217']}",Habana Outpost,17188589500.0,$$,4.0,954,[],
30,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.689722, 'longitude': -73.971003}",(929) 298-0209,False,"{'address1': '211 Dekalb Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['211 Dekalb Ave', 'Brooklyn, NY 11205']}",Evelina,19292980209.0,$$$,4.5,109,[],
31,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.705043534338, 'longitude': -73.93357123374}",(718) 417-1118,False,"{'address1': '261 Moore St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['261 Moore St', 'Brooklyn, NY 11206']}",Roberta's,17184171118.0,$$,4.0,2603,"['pickup', 'delivery']",
32,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.71757, 'longitude': -73.95236}",(718) 576-3095,False,"{'address1': '567 Union Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['567 Union Ave', 'Brooklyn, NY 11211']}",Lilia,17185763095.0,$$$,4.0,619,[],
33,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 40.67519, 'longitude': -73.98116}",(347) 294-4159,False,"{'address1': '239 5th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['239 5th Ave', 'Brooklyn, NY 11215']}",Haenyeo,13472944159.0,,4.0,27,"['pickup', 'delivery']",
34,"[{'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.6797687107191, 'longitude': -74.0103686973453}",(718) 858-7650,False,"{'address1': '284 Van Brunt St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['284 Van Brunt St', 'Brooklyn, NY 11231']}",Red Hook Lobster Pound,17188587650.0,$$,4.0,938,"['pickup', 'delivery']",
35,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'ramen', 'title': 'Ramen'}]","{'latitude': 40.680784, 'longitude': -73.967455}",(347) 425-9570,False,"{'address1': '565 Vanderbilt Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['565 Vanderbilt Ave', 'Brooklyn, NY 11238']}",Chuko,13474259570.0,$$,4.0,1021,[],
36,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]","{'latitude': 40.6877844, 'longitude': -73.9706046}",(718) 643-7003,False,"{'address1': '171 Lafayette Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['171 Lafayette Ave', 'Brooklyn, NY 11238']}",Olea,17186437003.0,$$,4.0,803,"['pickup', 'delivery']",
37,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 40.718423, 'longitude': -73.9574279}",(347) 725-4793,False,"{'address1': '164 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['164 Bedford Ave', 'Brooklyn, NY 11211']}",Sweet Chick,13477254793.0,$$,4.0,1783,[],
38,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 40.6769, 'longitude': -73.980411}",(718) 622-6644,False,"{'address1': '196 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['196 5th Ave', 'Brooklyn, NY 11217']}",Blueprint,17186226644.0,$$,4.5,312,[],
39,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 40.6835192334848, 'longitude': -73.9664132321178}",(347) 844-9588,False,"{'address1': '919 Fulton St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['919 Fulton St', 'Brooklyn, NY 11238']}",Emily,13478449588.0,$$$,4.0,653,[],
40,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 40.70983, 'longitude': -73.95109}",(929) 298-0626,False,"{'address1': '317 Union Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['317 Union Ave', 'Brooklyn, NY 11211']}",Modern Love Brooklyn,19292980626.0,$$,4.5,377,"['pickup', 'delivery']",
41,"[{'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 40.6749782203506, 'longitude': -73.9995224876405}",(718) 222-1102,False,"{'address1': '550 Court St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['550 Court St', 'Brooklyn, NY 11231']}",El Mate,17182221102.0,$$,4.5,263,['pickup'],
42,"[{'alias': 'hotpot', 'title': 'Hot Pot'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'buffets', 'title': 'Buffets'}]","{'latitude': 40.637494, 'longitude': -74.010961}",(347) 227-7698,False,"{'address1': '705 59th St', 'address2': 'Ste BC', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['705 59th St', 'Ste BC', 'Brooklyn, NY 11220']}",Lan Ting Hotpot,13472277698.0,$$,4.5,177,['restaurant_reservation'],
43,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'delis', 'title': 'Delis'}]","{'latitude': 40.69799, 'longitude': -73.97116}",(212) 475-4880,False,"{'address1': '141 Flushing Ave', 'address2': 'Bldg 77', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['141 Flushing Ave', 'Bldg 77', 'Brooklyn, NY 11205']}",Russ & Daughters at the Brooklyn Navy Yard,12124754880.0,,3.0,10,[],
44,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.6792941479875, 'longitude': -73.9880264255794}",,False,"{'address1': '480 Union St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['480 Union St', 'Brooklyn, NY 11231']}",Pig Beach,,$$,4.0,401,[],
45,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.6894111633301, 'longitude': -73.973258972168}",(718) 488-7800,False,"{'address1': '166 DeKalb Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['166 DeKalb Ave', 'Brooklyn, NY 11217']}",Walter's,17184887800.0,$$,4.0,481,[],
46,"[{'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.6773501401729, 'longitude': -73.9554671528066}",(718) 484-1507,False,"{'address1': '613 Franklin Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['613 Franklin Ave', 'Brooklyn, NY 11238']}",The Crabby Shack,17184841507.0,$$,4.0,583,"['pickup', 'delivery']",
47,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]","{'latitude': 40.6869769801458, 'longitude': -73.984394049936}",(718) 852-5555,False,"{'address1': '405 Atlantic Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['405 Atlantic Ave', 'Brooklyn, NY 11217']}",Bedouin Tent,17188525555.0,$,4.0,580,"['pickup', 'delivery']",
48,"[{'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'colombian', 'title': 'Colombian'}]","{'latitude': 40.678165, 'longitude': -73.978976}",(718) 230-3805,False,"{'address1': '141 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['141 5th Ave', 'Brooklyn, NY 11217']}",Bogota Latin Bistro,17182303805.0,$$,4.0,2035,"['pickup', 'delivery']",
49,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}]","{'latitude': 40.7033899, 'longitude': -73.9904923}",(718) 858-1095,False,"{'address1': '15 Main St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['15 Main St', 'Brooklyn, NY 11201']}",Atrium Dumbo,17188581095.0,$$,4.0,579,[],
50,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.67763, 'longitude': -73.97255}",(718) 484-7724,False,"{'address1': '341 Flatbush Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['341 Flatbush Ave', 'Brooklyn, NY 11217']}",Sweet Chick,17184847724.0,$$,4.0,439,[],
51,"[{'alias': 'hotpot', 'title': 'Hot Pot'}]","{'latitude': 40.6389709339157, 'longitude': -74.0046846944427}",(718) 431-0026,False,"{'address1': '811 53rd St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['811 53rd St', 'Brooklyn, NY 11220']}",Laojie Hotpot,17184310026.0,$$,4.5,417,[],
52,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}]","{'latitude': 40.69099, 'longitude': -73.95587}",(929) 290-2197,False,"{'address1': '525 Dekalb Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['525 Dekalb Ave', 'Brooklyn, NY 11205']}",Fan Fried Rice Bar,19292902197.0,$,5.0,40,"['pickup', 'delivery']",
53,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.689436, 'longitude': -73.9723809}",(917) 909-1023,False,"{'address1': '184 Dekalb Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['184 Dekalb Ave', 'Brooklyn, NY 11205']}",Miss Ada,19179091023.0,$$$,4.5,145,[],
54,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.712622, 'longitude': -73.9487843}",,False,"{'address1': '150 Ainslie St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['150 Ainslie St', 'Brooklyn, NY 11211']}",Okonomi,,$$,4.5,410,[],
55,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","{'latitude': 40.6647720336914, 'longitude': -73.9535217285156}",(718) 484-7555,False,"{'address1': '355 Rogers Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11225', 'country': 'US', 'state': 'NY', 'display_address': ['355 Rogers Ave', 'Brooklyn, NY 11225']}",The Food Sermon Kitchen,17184847555.0,$$,4.5,230,"['pickup', 'delivery']",
56,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.6746627, 'longitude': -73.9766125}",(718) 636-4800,False,"{'address1': '788A Union St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['788A Union St', 'Brooklyn, NY 11215']}",Scottadito Osteria Toscana,17186364800.0,$$,4.0,782,"['pickup', 'delivery', 'restaurant_reservation']",
57,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'diners', 'title': 'Diners'}]","{'latitude': 40.68562, 'longitude': -73.98587}",(718) 576-3209,False,"{'address1': '190 Dean St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['190 Dean St', 'Brooklyn, NY 11217']}",Rucola,17185763209.0,$$,4.0,448,[],
